Name,Speed,Modules,Price/GB,First Word Latency,CAS Latency,Rating,Rating Count,Price
 TEAMGROUP T-Create Classic 32 GB  ,DDR4-3200,2 x 16GB,$2.277,13.75 ns,22,0, 0,72.87
 Patriot Extreme Performance 32 GB  ,DDR4-2133,4 x 8GB,$5.346,14.065 ns,15,0, 0,171.08
 Patriot Viper 4 8 GB  ,DDR4-2666,2 x 4GB,$7.299,11.253 ns,15,0, 0,58.39
 Kingston ValueRAM 16 GB  ,DDR4-2400,1 x 16GB,$3.004,14.167 ns,17,0, 0,48.06
 Mushkin Silverline 32 GB  ,DDR4-2666,2 x 16GB,$2.206,14.254 ns,19,0, 0,70.59
 Kingston HyperX Fury RGB 8 GB  ,DDR4-2666,1 x 8GB,$5.749,12.003 ns,16,0, 0,45.99
 G.Skill F4-4000C15Q-32GTRS 64 GB  ,DDR4-4000,8 x 8GB,$10.900,7.5 ns,15,0, 0,697.61
 Thermaltake TOUGHRAM RC 16 GB  ,DDR4-4000,2 x 8GB,$9.749,9.5 ns,19,0, 0,155.99
 Kingston Server Premier 16 GB  ,DDR4-2666,1 x 16GB,$3.687,14.254 ns,19,0, 0,58.99
 Kingston Server Premier 8 GB  ,DDR4-3200,1 x 8GB,$4.026,13.75 ns,22,0, 0,32.21
 Mushkin Redline Lumina 16 GB  ,DDR4-3200,2 x 8GB,$5.354,8.75 ns,14,0, 0,85.67
 Mushkin Silverline 8 GB  ,DDR4-2133,2 x 4GB,$13.124,14.065 ns,15,0, 0,104.99
 VisionTek 901349 8 GB  ,DDR4-3200,1 x 8GB,$7.224,13.75 ns,22,0, 0,57.79
 G.Skill Ripjaws 32 GB  ,DDR4-3200,2 x 16GB,$3.125,11.25 ns,18,0, 0,99.99
 Kingston ValueRAM 16 GB  ,DDR4-3200,1 x 16GB,$2.887,13.75 ns,22,0, 0,46.19
 Kingston FURY Impact 32 GB  ,DDR4-3200,1 x 32GB,$2.656,12.5 ns,20,0, 0,84.99
 Patriot Signature Line 16 GB  ,DDR5-4800,1 x 16GB,$3.437,19.167 ns,46,0, 0,54.99
 G.Skill Ripjaws 8 GB  ,DDR4-3200,1 x 8GB,$3.374,11.25 ns,18,0, 0,26.99
 TEAMGROUP Elite 8 GB  ,DDR4-2666,1 x 8GB,$2.498,14.254 ns,19,0, 0,19.98
 Mushkin Essentials 16 GB  ,DDR4-2400,2 x 8GB,$2.241,14.167 ns,17,0, 0,35.85
 Corsair Dominator Platinum RGB 16 GB  ,DDR4-3600,2 x 8GB,$5.312,10 ns,18,0, 0,84.99
 Kingston Server Premier 8 GB  ,DDR4-2666,1 x 8GB,$4.276,14.254 ns,19,0, 0,34.21
 Kingston KVR26S19S8/8 8 GB  ,DDR4-2666,1 x 8GB,$2.547,14.254 ns,19,0, 0,20.38
 Mushkin Redline Lumina White 32 GB  ,DDR5-6000,2 x 16GB,$3.125,12 ns,36,0, 0,99.99
 Kingston FURY Impact 32 GB  ,DDR5-4800,2 x 16GB,$3.437,15.833 ns,38,0, 0,109.99
 G.Skill Ripjaws V 16 GB  ,DDR4-3000,4 x 4GB,$27.875,10 ns,15,5, 2,446.0
 Kingston ValueRAM 8 GB  ,DDR4-3200,1 x 8GB,$3.337,13.75 ns,22,0, 0,26.7
 Kingston ValueRAM 16 GB  ,DDR4-3200,1 x 16GB,$2.249,13.75 ns,22,0, 0,35.99
 Kingston ValueRAM 8 GB  ,DDR4-2666,1 x 8GB,$3.031,14.254 ns,19,0, 0,24.25
 Mushkin Redline Lumina 32 GB  ,DDR5-6400,2 x 16GB,$3.531,10 ns,32,0, 0,112.99
 G.Skill Ripjaws 16 GB  ,DDR4-2133,2 x 8GB,$2.583,14.065 ns,15,0, 0,41.33
 G.Skill Ripjaws 4 GB  ,DDR4-2666,1 x 4GB,$4.135,13.503 ns,18,0, 0,16.54
 Corsair Vengeance 32 GB  ,DDR4-3000,2 x 16GB,$10.937,10.667 ns,16,0, 0,349.99
 Kingston KTD-PE426/32G 32 GB  ,DDR4-2666,1 x 32GB,$2.964,14.254 ns,19,0, 0,94.86
 Mushkin Essentials 16 GB  ,DDR4-2133,2 x 8GB,$2.241,14.065 ns,15,0, 0,35.85
 Kingston ValueRAM 16 GB  ,DDR4-2666,1 x 16GB,$3.312,14.254 ns,19,0, 0,52.99
 Patriot Signature Line 8 GB  ,DDR4-2400,1 x 8GB,$2.498,14.167 ns,17,0, 0,19.98
 G.Skill Trident Z Royal 16 GB  ,DDR4-3600,2 x 8GB,$10.290,7.778 ns,14,0, 0,164.64
 Mushkin Redline 16 GB  ,DDR4-3600,2 x 8GB,$4.999,8.889 ns,16,0, 0,79.98
 Mushkin Proline 8 GB  ,DDR4-2133,1 x 8GB,$3.164,14.065 ns,15,0, 0,25.31
 Patriot Signature Line 8 GB  ,DDR5-4800,1 x 8GB,$5.806,19.167 ns,46,0, 0,46.45
 Crucial CT32G4RFD4213 32 GB  ,DDR4-2133,1 x 32GB,$1.841,14.065 ns,15,0, 0,58.9
 Corsair Vengeance Performance 16 GB  ,DDR4-2666,1 x 16GB,$2.499,13.503 ns,18,0, 0,39.99
 Kingston ValueRAM 8 GB  ,DDR4-2400,1 x 8GB,$3.750,14.167 ns,17,0, 0,30.0
 Crucial CT8G4RFS824A 8 GB  ,DDR4-2400,1 x 8GB,$4.874,14.167 ns,17,0, 0,38.99
 Corsair CMSX4GX4M1A2400C16 4 GB  ,DDR4-2400,1 x 4GB,$4.298,13.333 ns,16,0, 0,17.19
 Mushkin Essentials 32 GB  ,DDR4-2666,1 x 32GB,$1.901,14.254 ns,19,0, 0,60.82
 G.Skill Trident Z 16 GB  ,DDR4-4000,2 x 8GB,$8.062,9 ns,18,0, 0,129.0
 G.Skill Trident Z Royal 64 GB  ,DDR4-3200,8 x 8GB,$9.355,8.75 ns,14,0, 0,598.72
 Thermaltake TOUGHRAM RGB 16 GB  ,DDR4-4400,2 x 8GB,$11.244,8.636 ns,19,0, 0,179.91
 TEAMGROUP T-Force Vulcan Z 32 GB  ,DDR4-3200,1 x 32GB,$2.435,10 ns,16,0, 0,77.93
 Mushkin Redline 64 GB  ,DDR4-2933,2 x 32GB,$3.203,11.592 ns,17,0, 0,204.99
 G.Skill F4-4133C19Q-32GTZSWF 32 GB  ,DDR4-4133,4 x 8GB,$19.987,9.194 ns,19,0, 0,639.59
 Kingston ValueRAM 16 GB  ,DDR4-2133,1 x 16GB,$4.686,14.065 ns,15,0, 0,74.98
 TEAMGROUP Night Hawk RGB Gen 2 16 GB  ,DDR4-3200,2 x 8GB,$4.444,10 ns,16,0, 0,71.1
 Thermaltake TOUGHRAM XG RGB 16 GB  ,DDR4-4000,2 x 8GB,$11.249,9.5 ns,19,0, 0,179.99
