Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price,Efficiency Rating
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,550,Full,5, 1,169.9,3
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,1000,Full,5, 8,169.99,3
 Thermaltake Toughpower GF1 PE  ,ATX, Rating80+ Gold,850,Full,5, 42,102.11,3
 Thermaltake Smart BM3  ,ATX, Rating80+ Bronze,850,Semi,4, 1,79.98,1
 Corsair SF600  ,SFX, Rating80+ Platinum,600,Full,5, 85,225.0,4
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,750,No,5, 2,151.2,1
 Deepcool PM750D  ,ATX, Rating80+ Gold,750,No,0, 0,82.99,3
 EVGA 650 B5  ,ATX, Rating80+ Bronze,650,Full,5, 14,84.99,1
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,750,Full,5, 21,105.62,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,750,Full,0, 0,89.99,3
 Deepcool PQ1000M  ,ATX, Rating80+ Gold,1000,Full,5, 2,135.99,3
 MSI MEG Ai1000P PCIE5  ,ATX, Rating80+ Platinum,1000,Full,5, 1,251.0,4
 be quiet! System Power 10  ,ATX, Rating80+ Gold,850,No,5, 2,187.38,3
 Corsair RM750x ,ATX, Rating80+ Gold,750,Full,5, 147,169.96,3
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,750,Full,0, 0,139.9,4
 Corsair RM650x ,ATX, Rating80+ Gold,650,Full,5, 14,163.59,3
 Silverstone SX500-G  ,SFX, Rating80+ Gold,500,Full,5, 2,116.47,3
 MSI MPG A850GF  ,ATX, Rating80+ Gold,850,Full,5, 19,165.0,3
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,850,Full,5, 22,174.99,4
 SeaSonic G12 GC  ,ATX, Rating80+ Gold,650,No,0, 0,110.5,3
 Silverstone SFX  ,SFX, Rating80+ Titanium,800,Full,5, 8,217.98,5
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,550,No,0, 0,149.9,1
 Corsair RM850x ,ATX, Rating80+ Gold,850,Full,5, 163,144.99,3
 EVGA 750 GQ  ,ATX, Rating80+ Gold,750,Semi,5, 60,109.26,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850,Full,0, 0,109.99,3
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,750,Full,5, 1,104.49,3
 Corsair HX1000 Platinum  ,ATX, Rating80+ Platinum,1000,Full,5, 29,390.0,4
 EVGA SuperNOVA 1000G XC  ,ATX, Rating80+ Gold,1000,Full,0, 0,124.99,3
 EVGA SuperNOVA 1300 GT  ,ATX, Rating80+ Gold,1300,Full,5, 2,219.99,3
 Corsair AX1200i  ,ATX, Rating80+ Platinum,1200,Full,5, 56,657.73,4
 Asus ROG-STRIX-850G  ,ATX, Rating80+ Gold,850,Full,5, 7,168.16,3
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1200,Full,5, 3,177.98,4
 Corsair RM650x ,ATX, Rating80+ Gold,650,Full,5, 96,179.99,3
 SeaSonic S12III  ,ATX, Rating80+ Bronze,500,No,5, 18,68.9,1
 MSI MPG A1000G  ,ATX, Rating80+ Gold,1000,Full,5, 2,179.99,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Platinum,1050,Full,0, 0,159.99,4
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,850,Full,5, 1,119.99,3
 Asus ROG Strix  ,ATX, Rating80+ Gold,750,Full,5, 12,119.99,3
 EVGA SuperNOVA 850G XC  ,ATX, Rating80+ Gold,850,Full,0, 0,109.99,3
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,850,Full,0, 0,147.99,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1200,Full,5, 1,154.99,3
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1000,Full,5, 3,208.67,3
 EVGA 850 BQ  ,ATX, Rating80+ Bronze,850,Semi,5, 22,99.99,1
 Cooler Master MWE Gold V2 ATX3.0  ,ATX, Rating80+ Gold,1250,Full,0, 0,129.99,3
 Silverstone FX600 Platinum  ,Flex ATX, Rating,600,No,0, 0,179.99,0
 EVGA SuperNOVA 650 GM  ,SFX, Rating80+ Gold,650,Full,5, 36,128.63,3
 EVGA SuperNOVA 850 G5  ,ATX, Rating80+ Gold,850,Full,5, 16,134.99,3
