Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 ADATA LEGEND 850 LITE  ,1 TB,$66.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,66.98
 Gigabyte Gen3 2500E  ,500 GB,$57.78,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,57.78
 Corsair MP600 PRO NH  ,4 TB,$429.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,429.99
 Seagate BarraCuda Q5  ,2 TB,$126.15,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 1,126.15
 Corsair MP600 ELITE  ,2 TB,$159.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,159.99
 HP FX900  ,1 TB,$64.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,64.98
 Patriot Viper VP4300 Lite  ,2 TB,$134.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,134.99
 Crucial P5  ,1 TB,$119.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 23,119.99
 Inland TN320  ,512 GB,$42.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,42.99
 Western Digital Black SN750 SE  ,500 GB,$69.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 9,69.98
 Kingston KC600  ,512 GB,$62.45,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,62.45
 Silicon Power US75  ,1 TB,$79.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,79.98
 Western Digital Blue  ,1 TB,$101.99,SSD,M.2-2280,M.2 SATA,5, 80,101.99
 Silicon Power XS70  ,1 TB,$89.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,89.99
 Western Digital Blue SA510  ,500 GB,$52.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 2,52.99
 KingSpec XG7000  ,4 TB,$269.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,269.99
 Samsung 960 Pro  ,512 GB,$175.25,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 35,175.25
 ADATA Legend 960  ,2 TB,$163.41,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,163.41
 Mushkin Vortex Redline  ,512 GB,$55.04,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,55.04
