Memory Name,Memory Speed,Memory Modules,Memory Price/GB,Memory First Word Latency,Memory CAS Latency,Memory Rating,Memory Rating Count,Memory Price
 Silicon Power GAMING 32 GB  ,DDR4-3200,2 x 16GB,$1.718,10 ns,16,4, 13,$54.97
 TEAMGROUP T-Force Vulcan Z 16 GB  ,DDR4-3200,2 x 8GB,$2.249,10 ns,16,5, 92,$35.99
 G.Skill Trident Z5 Neo 64 GB  ,DDR5-6000,2 x 32GB,$3.281,10 ns,30,5, 14,$209.99
 Kingston FURY Beast 16 GB  ,DDR4-3200,2 x 8GB,$3.097,10 ns,16,5, 10,$49.55
 Corsair Vengeance RGB Pro 16 GB  ,DDR4-3200,2 x 8GB,$3.937,10 ns,16,5, 174,$62.99
 Corsair Vengeance 32 GB  ,DDR5-5200,2 x 16GB,$2.968,15.385 ns,40,5, 11,$94.99
 G.Skill Ripjaws S5 32 GB  ,DDR5-6000,2 x 16GB,$2.875,12 ns,36,5, 17,$91.99
 Corsair Vengeance RGB 128 GB  ,DDR5-5600,4 x 32GB,$3.437,14.286 ns,40,0, 0,$439.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-7200,2 x 16GB,$4.156,9.444 ns,34,5, 5,$132.99
 Corsair Vengeance RGB 64 GB  ,DDR5-6000,2 x 32GB,$3.359,10 ns,30,5, 2,$214.99
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.906,10 ns,30,5, 29,$124.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.312,12.667 ns,38,5, 3,$105.99
 TEAMGROUP T-Force Vulcan Z 32 GB  ,DDR4-3600,2 x 16GB,$1.968,10 ns,18,5, 14,$62.99
 G.Skill Trident Z RGB 32 GB  ,DDR4-3200,2 x 16GB,$2.656,10 ns,16,5, 27,$84.99
 Corsair Vengeance LPX 64 GB  ,DDR4-3200,2 x 32GB,$1.719,10 ns,16,5, 17,$109.99
 Silicon Power Value Gaming 32 GB  ,DDR5-6000,2 x 16GB,$2.905,10 ns,30,0, 0,$92.97
 Corsair Dominator Platinum 32 GB  ,DDR4-2666,4 x 8GB,,11.253 ns,15,5, 4,
 Corsair Vengeance 64 GB  ,DDR5-6400,2 x 32GB,$3.281,10 ns,32,5, 4,$209.99
 Kingston FURY Beast 32 GB  ,DDR5-6000,2 x 16GB,$4.218,12 ns,36,5, 10,$134.99
 G.Skill Ripjaws V 16 GB  ,DDR4-3600,2 x 8GB,$2.749,8.889 ns,16,5, 196,$43.99
 G.Skill Flare X5 32 GB  ,DDR5-6000,2 x 16GB,$3.062,10.667 ns,32,5, 13,$98.00
 Kingston FURY Beast 16 GB  ,DDR5-6000,2 x 8GB,$4.874,13.333 ns,40,4, 3,$77.98
 TEAMGROUP T-Force Delta RGB 16 GB  ,DDR4-3600,2 x 8GB,$2.999,10 ns,18,5, 18,$47.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR4-3600,2 x 16GB,$2.187,10 ns,18,5, 12,$69.98
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.750,10 ns,32,5, 28,$119.99
 G.Skill Trident Z 32 GB  ,DDR5-6000,2 x 16GB,$23.592,13.333 ns,40,0, 0,$754.94
 TEAMGROUP T-Force Delta RGB 16 GB  ,DDR4-3600,2 x 8GB,$2.999,10 ns,18,5, 15,$47.99
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR5-6000,2 x 16GB,$3.218,10 ns,30,5, 1,$102.99
 TEAMGROUP T-Force Vulcan Z 32 GB  ,DDR4-3200,2 x 16GB,$1.750,10 ns,16,5, 13,$55.99
 TEAMGROUP Vulcan Z 16 GB  ,DDR4-3600,2 x 8GB,$2.437,10 ns,18,5, 16,$38.99
 Corsair Dominator Platinum RGB 32 GB  ,DDR5-6200,2 x 16GB,$5.312,11.613 ns,36,5, 7,$169.99
 Corsair Vengeance RGB 32 GB  ,DDR5-5200,2 x 16GB,$3.437,15.385 ns,40,5, 3,$109.99
 G.Skill Ripjaws V 32 GB  ,DDR4-3600,2 x 16GB,$2.499,8.889 ns,16,5, 105,$79.98
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR5-6000,2 x 16GB,$3.125,12.667 ns,38,0, 0,$99.99
 Crucial CT2K8G48C40U5 16 GB  ,DDR5-4800,2 x 8GB,$3.312,16.667 ns,40,4, 2,$52.99
 Silicon Power XPOWER Turbine 16 GB  ,DDR4-3200,2 x 8GB,$2.186,10 ns,16,5, 26,$34.97
 G.Skill Trident Z RGB 16 GB  ,DDR4-3600,2 x 8GB,$3.562,10 ns,18,5, 133,$56.99
 G.Skill Trident Z5 Neo RGB 64 GB  ,DDR5-6000,2 x 32GB,$3.281,10 ns,30,5, 13,$209.99
 Silicon Power SP032GBLVU560FD2AD 32 GB  ,DDR5-5600,2 x 16GB,$2.374,16.429 ns,46,0, 0,$75.97
 Kingston FURY Beast 32 GB  ,DDR4-3200,2 x 16GB,$2.562,10 ns,16,5, 8,$81.99
 G.Skill Flare X5 64 GB  ,DDR5-6000,2 x 32GB,$3.125,10 ns,30,5, 8,$199.99
 Crucial Pro 32 GB  ,DDR4-3200,2 x 16GB,$2.000,13.75 ns,22,5, 2,$63.99
 Corsair Vengeance 32 GB  ,DDR5-6000,2 x 16GB,$3.593,12 ns,36,5, 1,$114.99
 G.Skill Trident Z5 RGB 48 GB  ,DDR5-8400,2 x 24GB,,9.524 ns,40,0, 0,
 Corsair Vengeance RGB Pro 32 GB  ,DDR4-3200,2 x 16GB,$2.562,10 ns,16,5, 33,$81.99
 Corsair Vengeance RGB 192 GB  ,DDR5-5200,4 x 48GB,$3.437,14.615 ns,38,0, 0,$659.99
 Kingston FURY Beast RGB 32 GB  ,DDR5-6000,2 x 16GB,$4.375,12 ns,36,5, 9,$139.99
 Corsair Vengeance 32 GB  ,DDR5-4800,2 x 16GB,$3.062,16.667 ns,40,5, 5,$97.99
 TEAMGROUP T-Create Expert 32 GB  ,DDR5-6000,2 x 16GB,$2.906,10 ns,30,5, 1,$92.99
 Corsair Vengeance 64 GB  ,DDR5-6000,2 x 32GB,$3.281,10 ns,30,5, 3,$209.99
 Patriot Viper Venom 16 GB  ,DDR5-5200,2 x 8GB,$4.186,13.846 ns,36,5, 2,$66.98
 Corsair Vengeance LPX 16 GB  ,DDR4-3200,2 x 8GB,$2.499,10 ns,16,5, 21,$39.99
 Corsair Vengeance RGB 64 GB  ,DDR5-6000,2 x 32GB,$3.592,10 ns,30,5, 1,$229.90
 TEAMGROUP Elite 16 GB  ,DDR5-4800,2 x 8GB,$2.874,16.667 ns,40,0, 0,$45.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR4-3600,2 x 16GB,$2.374,10 ns,18,5, 12,$75.98
 Corsair Vengeance 32 GB  ,DDR5-6400,2 x 16GB,$3.750,10 ns,32,5, 5,$119.99
 TEAMGROUP T-Create Classic 32 GB  ,DDR5-6000,2 x 16GB,$2.750,16 ns,48,5, 1,$87.99
 TEAMGROUP T-Create Classic 32 GB  ,DDR5-5600,2 x 16GB,$2.625,16.429 ns,46,5, 2,$83.99
 Corsair Vengeance LPX 8 GB  ,DDR4-2400,1 x 8GB,$3.124,13.333 ns,16,5, 48,$24.99
 Corsair Vengeance 128 GB  ,DDR5-5600,4 x 32GB,$3.672,14.286 ns,40,0, 0,$469.99
 Crucial Pro 32 GB  ,DDR5-5600,2 x 16GB,$3.125,16.429 ns,46,5, 4,$99.99
 Corsair Vengeance LPX 32 GB  ,DDR4-3000,2 x 16GB,,10 ns,15,5, 6,
 Corsair Vengeance RGB Pro 256 GB  ,DDR4-3000,8 x 32GB,$6.478,10.667 ns,16,0, 0,$1658.29
 G.Skill Trident Z Neo 32 GB  ,DDR4-3600,2 x 16GB,$2.812,8.889 ns,16,5, 162,$89.99
 Corsair Dominator Titanium 64 GB  ,DDR5-6600,2 x 32GB,$4.844,9.697 ns,32,0, 0,$309.99
 Crucial CT25664AA667 2 GB  ,DDR2-667,1 x 2GB,$5.500,14.993 ns,5,4, 1,$11.00
 TEAMGROUP T-Create Expert 32 GB  ,DDR5-6400,2 x 16GB,$3.125,10 ns,32,5, 1,$99.99
 G.Skill Trident Z5 RGB 96 GB  ,DDR5-6800,2 x 48GB,$4.167,10 ns,34,0, 0,$399.99
 Kingston FURY Beast RGB 16 GB  ,DDR5-6000,2 x 8GB,,12 ns,36,5, 3,
 Corsair Dominator Platinum RGB 32 GB  ,DDR5-6200,2 x 16GB,$5.312,11.613 ns,36,5, 7,$169.99
 Kingston FURY Beast RGB 16 GB  ,DDR5-6000,2 x 8GB,$5.499,13.333 ns,40,4, 4,$87.99
 Kingston FURY Beast 8 GB  ,DDR4-3200,1 x 8GB,$3.460,10 ns,16,0, 0,$27.68
 Corsair Dominator Titanium 64 GB  ,DDR5-6400,4 x 16GB,$5.312,10 ns,32,0, 0,$339.99
 G.Skill Ripjaws S5 32 GB  ,DDR5-5600,2 x 16GB,$3.312,10 ns,28,5, 4,$105.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.312,12.667 ns,38,0, 0,$105.99
 Corsair Vengeance LPX 16 GB  ,DDR4-3200,2 x 8GB,$2.874,10 ns,16,5, 24,$45.99
 G.Skill Trident Z Royal 256 GB  ,DDR4-3600,8 x 32GB,$5.855,10 ns,18,0, 0,$1499.00
 G.Skill Trident Z5 Neo 32 GB  ,DDR5-6000,2 x 16GB,$3.656,10 ns,30,5, 14,$116.99
 TEAMGROUP T-Force Vulcan Z 16 GB  ,DDR4-3200,2 x 8GB,$2.249,10 ns,16,5, 3,$35.99
 G.Skill Trident Z5 RGB 64 GB  ,DDR5-6400,2 x 32GB,$3.406,10 ns,32,5, 1,$217.99
 ADATA XPG Lancer Blade 32 GB  ,DDR5-6000,2 x 16GB,$3.531,10 ns,30,5, 7,$112.99
 G.Skill Trident Z Neo 256 GB  ,DDR4-3200,8 x 32GB,$2.305,10 ns,16,0, 0,$589.99
 Corsair Dominator Titanium 96 GB  ,DDR5-6600,2 x 48GB,$4.583,9.697 ns,32,0, 0,$439.99
 Corsair Vengeance LPX 32 GB  ,DDR4-3866,4 x 8GB,,9.312 ns,18,0, 0,
 Lexar Ares RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.437,10 ns,32,4, 1,$109.99
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$4.062,10 ns,30,5, 1,$129.99
 TEAMGROUP T-Create Expert 32 GB  ,DDR5-6000,2 x 16GB,$2.968,12.667 ns,38,5, 2,$94.99
 Corsair Vengeance RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.906,10 ns,32,5, 6,$124.99
 G.Skill Ripjaws V 32 GB  ,DDR4-4000,2 x 16GB,$2.249,9 ns,18,5, 7,$71.98
 Kingston HyperX Fury 16 GB  ,DDR4-3200,2 x 8GB,,10 ns,16,5, 35,
 TEAMGROUP Elite 16 GB  ,DDR4-3200,2 x 8GB,$1.999,13.75 ns,22,4, 1,$31.99
 Corsair Dominator Titanium 32 GB  ,DDR5-6000,2 x 16GB,$5.406,10 ns,30,5, 4,$172.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.625,10 ns,32,0, 0,$115.99
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR5-5600,2 x 16GB,$2.812,11.429 ns,32,0, 0,$89.99
 G.Skill Aegis 16 GB  ,DDR4-3200,2 x 8GB,$2.687,10 ns,16,5, 31,$42.99
 G.Skill Ripjaws S5 32 GB  ,DDR5-6000,2 x 16GB,$3.437,10 ns,30,5, 7,$109.99
 Corsair Vengeance 16 GB  ,DDR3-1600,2 x 8GB,$4.874,11.25 ns,9,5, 89,$77.98
 Silicon Power XPOWER Turbine 32 GB  ,DDR4-3200,2 x 16GB,$1.718,10 ns,16,5, 3,$54.97
 Crucial CT8G48C40U5 8 GB  ,DDR5-4800,1 x 8GB,$3.124,16.667 ns,40,0, 0,$24.99
 Corsair Vengeance RGB Pro 32 GB  ,DDR4-3200,2 x 16GB,$3.031,10 ns,16,5, 7,$96.99
 Corsair Vengeance LPX 16 GB  ,DDR4-3200,2 x 8GB,$2.874,10 ns,16,5, 56,$45.99
 Kingston FURY Beast 16 GB  ,DDR5-5600,2 x 8GB,$5.442,12.857 ns,36,5, 1,$87.08
 Corsair Dominator Platinum RGB 64 GB  ,DDR5-6800,2 x 32GB,$4.687,11.765 ns,40,0, 0,$299.99
 G.Skill Ripjaws S5 64 GB  ,DDR5-5600,2 x 32GB,$2.969,10 ns,28,5, 2,$189.99
 G.Skill Ripjaws S5 64 GB  ,DDR5-6000,2 x 32GB,$3.281,10 ns,30,5, 8,$209.99
 G.Skill Trident Z 32 GB  ,DDR4-3200,2 x 16GB,$40.409,9.375 ns,15,5, 2,$1293.08
 G.Skill Ripjaws V 32 GB  ,DDR4-3600,2 x 16GB,$2.125,10 ns,18,5, 20,$67.99
 Kingston FURY 128 GB  ,DDR5-5600,4 x 32GB,$4.030,14.286 ns,40,4, 1,$515.78
 TEAMGROUP T-Force Delta RGB 64 GB  ,DDR5-6000,2 x 32GB,$3.125,12.667 ns,38,5, 3,$199.99
 G.Skill Ripjaws S5 32 GB  ,DDR5-6400,2 x 16GB,$3.437,10 ns,32,5, 5,$109.99
 Corsair Vengeance RGB Pro 16 GB  ,DDR4-3600,2 x 8GB,$3.937,10 ns,18,5, 77,$62.99
 Corsair Vengeance 64 GB  ,DDR5-6800,2 x 32GB,$3.875,9.412 ns,32,0, 0,$247.99
 Corsair Vengeance RGB 64 GB  ,DDR5-6400,2 x 32GB,$3.437,10 ns,32,5, 5,$219.99
 Corsair Vengeance 96 GB  ,DDR5-6400,2 x 48GB,$3.646,10 ns,32,5, 2,$349.99
 Kingston FURY Beast 16 GB  ,DDR5-6000,2 x 8GB,$5.121,12 ns,36,3, 1,$81.93
 TEAMGROUP Elite 16 GB  ,DDR5-5200,2 x 8GB,$3.062,16.154 ns,42,0, 0,$48.99
 Silicon Power XPOWER Zenith Gaming 32 GB  ,DDR5-6000,2 x 16GB,$4.311,10 ns,30,0, 0,$137.94
 G.Skill Trident Z RGB 32 GB  ,DDR4-3600,2 x 16GB,$2.562,10 ns,18,5, 23,$81.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-7200,2 x 16GB,$4.062,9.444 ns,34,5, 2,$129.99
 Corsair Vengeance LPX 64 GB  ,DDR4-3600,2 x 32GB,$2.234,10 ns,18,5, 4,$142.99
 Crucial CT16G48C40U5 16 GB  ,DDR5-4800,1 x 16GB,$2.806,16.667 ns,40,5, 1,$44.90
 G.Skill Trident Z5 RGB 64 GB  ,DDR5-6800,2 x 32GB,$4.062,10 ns,34,4, 1,$259.99
 Corsair Dominator Titanium 96 GB  ,DDR5-6600,2 x 48GB,$4.479,9.697 ns,32,0, 0,$429.95
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-5600,2 x 16GB,$2.968,12.857 ns,36,5, 2,$94.99
 G.Skill Trident Z RGB 64 GB  ,DDR4-3600,2 x 32GB,$2.250,10 ns,18,5, 9,$143.99
 G.Skill Trident Z5 RGB 48 GB  ,DDR5-8000,2 x 24GB,$5.416,10 ns,40,5, 2,$259.99
 Kingston ValueRAM 4 GB  ,DDR4-3200,1 x 4GB,$2.498,13.75 ns,22,0, 0,$9.99
 OLOy MD4U083016BGDA 16 GB  ,DDR4-3000,2 x 8GB,$2.249,10.667 ns,16,5, 16,$35.99
 Silicon Power SP016GLLTU160N22 16 GB  ,DDR3-1600,2 x 8GB,$1.249,13.75 ns,11,0, 0,$19.98
 TEAMGROUP T-Create Expert 64 GB  ,DDR5-6000,2 x 32GB,$2.734,11.333 ns,34,5, 4,$174.99
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR5-6400,2 x 16GB,$3.281,10 ns,32,5, 2,$104.99
 Kingston FURY Beast 16 GB  ,DDR5-5200,2 x 8GB,$4.436,15.385 ns,40,4, 5,$70.98
 Corsair Vengeance RGB 32 GB  ,DDR5-5200,2 x 16GB,$3.437,15.385 ns,40,5, 11,$109.99
 TEAMGROUP Elite 32 GB  ,DDR4-3200,2 x 16GB,$1.718,13.75 ns,22,5, 2,$54.99
 Corsair Vengeance RGB Pro 32 GB  ,DDR4-3200,4 x 8GB,$3.687,10 ns,16,5, 42,$117.99
 Lexar THOR OC 32 GB  ,DDR5-6000,2 x 16GB,$2.968,10.667 ns,32,5, 1,$94.99
 TEAMGROUP Elite 32 GB  ,DDR5-4800,2 x 16GB,$2.374,16.667 ns,40,0, 0,$75.98
 Corsair Dominator Platinum RGB 64 GB  ,DDR5-6600,4 x 16GB,$5.469,9.697 ns,32,4, 2,$349.99
 OLOy MD4U1636181CHKDA 32 GB  ,DDR4-3600,2 x 16GB,$1.873,10 ns,18,5, 7,$59.92
 G.Skill Ripjaws V 16 GB  ,DDR4-3600,2 x 8GB,$2.374,10 ns,18,5, 56,$37.99
 Corsair Vengeance 192 GB  ,DDR5-5200,4 x 48GB,$3.385,14.615 ns,38,0, 0,$649.99
 G.Skill Trident Z5 RGB 48 GB  ,DDR5-8400,2 x 24GB,$8.333,9.524 ns,40,0, 0,$399.99
 Crucial Pro 64 GB  ,DDR4-3200,2 x 32GB,$1.906,13.75 ns,22,5, 1,$121.99
 Corsair Vengeance 32 GB  ,DDR5-6200,2 x 16GB,$4.000,10.323 ns,32,0, 0,$127.99
 G.Skill Ripjaws S5 64 GB  ,DDR5-6400,2 x 32GB,$3.203,10 ns,32,5, 1,$204.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-5600,2 x 16GB,$4.169,12.857 ns,36,4, 2,$133.40
 Crucial CT8G4DFRA32A 8 GB  ,DDR4-3200,1 x 8GB,$2.498,13.75 ns,22,0, 0,$19.98
 Corsair Vengeance RGB 32 GB  ,DDR5-7200,2 x 16GB,$5.000,9.444 ns,34,0, 0,$159.99
 Corsair Vengeance 32 GB  ,DDR5-7200,2 x 16GB,$5.000,9.444 ns,34,4, 2,$159.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-7200,2 x 16GB,$3.906,9.444 ns,34,5, 1,$124.99
 Kingston ValueRAM 1 GB  ,DDR2-667,1 x 1GB,$11.160,14.993 ns,5,0, 0,$11.16
 Crucial Classic 16 GB  ,DDR5-5600,2 x 8GB,$3.874,16.429 ns,46,0, 0,$61.98
 Corsair Vengeance RGB RT 256 GB  ,DDR4-3600,8 x 32GB,$2.439,10 ns,18,0, 0,$624.42
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-7600,2 x 16GB,$5.156,9.474 ns,36,5, 2,$164.99
 Kingston FURY Beast RGB 16 GB  ,DDR4-3200,2 x 8GB,$3.437,10 ns,16,5, 6,$54.99
 Corsair Vengeance 32 GB  ,DDR5-5200,2 x 16GB,$3.218,15.385 ns,40,0, 0,$102.99
 Silicon Power XPOWER Zenith Gaming 32 GB  ,DDR5-6000,2 x 16GB,$3.062,10 ns,30,0, 0,$97.97
 Samsung M378A1K43CB2-CRC 8 GB  ,DDR4-2400,1 x 8GB,$2.251,14.167 ns,17,4, 5,$18.01
 Supermicro MEM-DR412L-SL02-LR26 128 GB  ,DDR4-2666,1 x 128GB,,16.504 ns,22,0, 0,
 G.Skill Trident Z RGB 16 GB  ,DDR4-3200,2 x 8GB,$3.499,10 ns,16,5, 355,$55.99
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.906,10 ns,30,5, 3,$124.99
 TEAMGROUP T-Force Delta RGB 16 GB  ,DDR4-3200,2 x 8GB,$3.499,10 ns,16,5, 39,$55.99
 G.Skill Trident Z RGB 128 GB  ,DDR4-3600,4 x 32GB,$2.266,10 ns,18,5, 5,$289.99
 ADATA XPG SPECTRIX D50 16 GB  ,DDR4-3200,2 x 8GB,$3.437,10 ns,16,5, 1,$54.99
 ADATA XPG Lancer Blade RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.889,10 ns,32,0, 0,$124.45
 G.Skill Aegis 32 GB  ,DDR4-3200,2 x 16GB,$2.093,10 ns,16,5, 10,$66.98
 Kingston Server Premier 64 GB  ,DDR4-3200,1 x 64GB,$2.755,13.75 ns,22,0, 0,$176.29
 Corsair Dominator Titanium 64 GB  ,DDR5-6000,2 x 32GB,$4.375,10 ns,30,0, 0,$279.99
 Kingston HyperX Fury 8 GB  ,DDR4-2666,1 x 8GB,$5.749,12.003 ns,16,5, 1,$45.99
 Corsair Vengeance RGB 64 GB  ,DDR5-6000,4 x 16GB,$4.062,12 ns,36,0, 0,$259.99
 Corsair Vengeance LPX 16 GB  ,DDR4-3000,2 x 8GB,$2.749,10 ns,15,5, 271,$43.99
 Corsair Vengeance 32 GB  ,DDR5-6000,2 x 16GB,$3.750,10 ns,30,5, 5,$119.99
 G.Skill Trident Z5 Neo RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.906,10 ns,30,0, 0,$124.99
 Timetec PINNACLE Konduit 16 GB  ,DDR4-3600,2 x 8GB,$2.874,10 ns,18,0, 0,$45.99
 Corsair Vengeance 64 GB  ,DDR5-5600,2 x 32GB,$2.969,14.286 ns,40,5, 1,$189.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-7800,2 x 16GB,$5.937,9.231 ns,36,0, 0,$189.99
 Corsair Vengeance RGB 32 GB  ,DDR5-5600,2 x 16GB,$3.531,14.286 ns,40,5, 10,$112.99
 Patriot Viper 4 Blackout 64 GB  ,DDR4-3200,2 x 32GB,$1.875,10 ns,16,5, 1,$119.99
 Corsair Dominator Titanium 32 GB  ,DDR5-6000,2 x 16GB,$5.406,10 ns,30,0, 0,$172.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.906,10 ns,30,5, 2,$124.99
 Kingston FURY Beast 16 GB  ,DDR4-3600,2 x 8GB,$3.062,9.444 ns,17,0, 0,$49.00
 TEAMGROUP Elite 16 GB  ,DDR4-3200,1 x 16GB,$1.999,13.75 ns,22,0, 0,$31.99
 TEAMGROUP T-Create Expert 32 GB  ,DDR4-3200,2 x 16GB,$1.875,10 ns,16,5, 5,$59.99
 G.Skill Ripjaws S5 96 GB  ,DDR5-6400,2 x 48GB,$3.437,10 ns,32,0, 0,$329.99
 Kingston FURY Beast RGB 64 GB  ,DDR5-6000,2 x 32GB,$3.672,12 ns,36,4, 4,$234.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-6400,2 x 16GB,$3.125,12.5 ns,40,4, 4,$99.99
 Corsair Dominator Titanium 32 GB  ,DDR5-7200,2 x 16GB,$6.250,9.444 ns,34,0, 0,$199.99
 TEAMGROUP T-Create Expert 16 GB  ,DDR4-3600,2 x 8GB,$2.374,10 ns,18,5, 1,$37.99
 Kingston FURY Beast 32 GB  ,DDR5-5600,2 x 16GB,$3.906,12.857 ns,36,5, 4,$124.99
 Corsair Vengeance 32 GB  ,DDR5-6000,2 x 16GB,$3.593,12 ns,36,0, 0,$114.99
 G.Skill Trident Z5 RGB 48 GB  ,DDR5-8200,2 x 24GB,$6.250,9.756 ns,40,0, 0,$299.99
 G.Skill Ripjaws V 32 GB  ,DDR4-4400,2 x 16GB,$2.593,8.636 ns,19,5, 1,$82.99
 ADATA XPG Lancer Blade RGB 32 GB  ,DDR5-6000,2 x 16GB,$5.490,10 ns,30,5, 3,$175.69
 ADATA XPG Lancer Blade RGB 32 GB  ,DDR5-6400,2 x 16GB,,10 ns,32,0, 0,
 Corsair Vengeance LPX 16 GB  ,DDR4-3600,2 x 8GB,$3.437,8.889 ns,16,5, 13,$54.99
 Lexar Hades OC 32 GB  ,DDR4-3600,2 x 16GB,,10 ns,18,0, 0,
 Corsair Vengeance LPX 32 GB  ,DDR4-3600,2 x 16GB,$2.656,10 ns,18,5, 11,$84.99
 Crucial CT2K16G48C40U5 32 GB  ,DDR5-4800,2 x 16GB,$2.750,16.667 ns,40,3, 3,$87.99
 G.Skill Ripjaws X 16 GB  ,DDR3-1600,2 x 8GB,$2.312,12.5 ns,10,5, 68,$36.99
 Corsair Vengeance 64 GB  ,DDR5-5200,2 x 32GB,$2.672,15.385 ns,40,0, 0,$171.03
