Brand,Model,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price,Release Year
Intel,Core i7-11700K  ,8,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 750,Yes,5,38,$241.04,2020.0
AMD,Ryzen 7 3800X  ,8,3.9 GHz,4.5 GHz,105 W,,Yes,5,133,$295.00,2019.0
Intel,Core i7-12700F  ,12,2.1 GHz,4.9 GHz,65 W,,Yes,5,9,$250.00,2021.0
AMD,Ryzen 5 2600X  ,6,3.6 GHz,4.2 GHz,95 W,,Yes,5,229,$195.00,2018.0
Intel,Core i9-12900KF  ,16,3.2 GHz,5.2 GHz,125 W,,Yes,5,2,$350.99,2021.0
Intel,Core i9-11900K  ,8,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 750,Yes,4,12,$265.00,2020.0
Intel,Core i7-14700F  ,20,2.1 GHz,5.4 GHz,65 W,,Yes,0,0,$359.99,2023.0
Intel,Core i5-10600K  ,6,4.1 GHz,4.8 GHz,125 W,Intel UHD Graphics 630,Yes,5,72,$143.72,2019.0
Intel,Core i7-13700  ,16,2.1 GHz,5.2 GHz,65 W,Intel UHD Graphics 770,Yes,5,3,$339.99,2022.0
Intel,Core i5-9600K  ,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No,5,146,$169.00,2018.0
Intel,Core i5-10400  ,6,2.9 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,5,62,$134.97,2019.0
Intel,Core i9-10900K  ,10,3.7 GHz,5.3 GHz,125 W,Intel UHD Graphics 630,Yes,5,50,$490.00,2019.0
Intel,Core i7-8700  ,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,5,59,$210.00,2017.0
Intel,Core i5-8400  ,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,5,84,$140.00,2017.0
AMD,Ryzen 5 3400G  ,4,3.7 GHz,4.2 GHz,65 W,Radeon Vega 11,Yes,5,55,$132.00,2019.0
