Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Samsung 970 Evo Plus  ,2 TB,$149.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 177,$149.99
 Crucial P3  ,500 GB,$50.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 10,$50.98
 TEAMGROUP MP33  ,512 GB,$38.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 36,$38.99
 Western Digital Caviar Blue  ,1 TB,$38.49,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 2386,$38.49
 Crucial P3 Plus  ,4 TB,$237.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 11,$237.99
 Samsung 870 Evo  ,2 TB,$159.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 26,$159.99
 Crucial T700  ,4 TB,$472.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,4, 3,$472.99
 Kingston NV2  ,500 GB,$42.80,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$42.80
 Samsung 870 QVO  ,8 TB,$565.34,SSD,"2.5""",SATA 6.0 Gb/s,5, 3,$565.34
 Samsung 980  ,1 TB,$89.90,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 89,$89.90
 Lexar NM710  ,1 TB,$64.76,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 5,$64.76
 TEAMGROUP MP44L  ,2 TB,$114.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 6,$114.99
 TEAMGROUP MP33  ,2 TB,$105.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 13,$105.99
 Seagate BarraCuda  ,1 TB,$45.00,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 242,$45.00
 Acer Predator GM7000  ,2 TB,$124.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$124.99
 Samsung 870 Evo  ,4 TB,$320.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 10,$320.99
 Seagate Barracuda Compute  ,8 TB,$109.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,5, 15,$109.99
 Crucial MX500  ,1 TB,$79.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 143,$79.99
 Crucial P3  ,2 TB,$116.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 12,$116.99
 Silicon Power A60  ,1 TB,$59.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 51,$59.99
 Samsung 870 Evo  ,500 GB,$52.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 22,$52.99
 Kingston KC3000  ,2.048 TB,$159.73,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 22,$159.73
 TEAMGROUP MP44L  ,1 TB,$64.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,$64.98
 Western Digital Gold  ,24 TB,$629.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$629.99
 Crucial T700  ,2 TB,$274.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 3,$274.99
 Silicon Power UD90  ,2 TB,$107.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$107.99
 Crucial P5 Plus  ,2 TB,$183.15,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 54,$183.15
 Samsung 990 Pro w/Heatsink  ,4 TB,$339.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$339.99
 Crucial T700  ,1 TB,$164.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 4,$164.99
 Western Digital Blue  ,2 TB,$53.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 24,$53.99
 Kingston A400  ,240 GB,$27.80,SSD,"2.5""",SATA 6.0 Gb/s,5, 124,$27.80
 Western Digital Blue SN580  ,2 TB,$114.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,$114.99
 SK Hynix Platinum P41  ,2 TB,$163.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 32,$163.99
 Samsung 980 Pro  ,500 GB,$84.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 58,$84.99
 Crucial T500  ,2 TB,$155.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 2,$155.99
 Corsair MP600 PRO NH  ,8 TB,$979.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$979.99
 Patriot P300  ,256 GB,$23.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 11,$23.99
 Leven JS300  ,120 GB,,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,
 Corsair MP400  ,8 TB,,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 1,
 TEAMGROUP EX2  ,16 TB,,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,
 Western Digital Green SN350  ,1 TB,$62.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 9,$62.99
 VisionTek 901409  ,8 TB,$1599.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$1599.99
 Solidigm P41 Plus  ,1 TB,$61.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$61.99
 Kingston KC3000  ,1.024 TB,$97.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 14,$97.99
 Lexar NM790  ,1 TB,$99.22,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$99.22
 Lexar NM710  ,2 TB,$156.40,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 2,$156.40
 Seagate IronWolf Pro NAS  ,22 TB,$399.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 1,$399.99
 Crucial T700 W/Heatsink  ,4 TB,$499.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 2,$499.99
 Patriot P300  ,512 GB,$37.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$37.99
 Lexar NM790  ,2 TB,$159.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 5,$159.99
 Crucial P3 Plus  ,500 GB,$53.36,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$53.36
 Sabrent Rocket 4.0  ,1 TB,$99.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 105,$99.99
 Crucial MX500  ,2 TB,$149.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 55,$149.99
 Western Digital Blue SN570  ,1 TB,$69.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 50,$69.99
 Crucial P5 Plus  ,1 TB,$125.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 46,$125.00
 Seagate Exos X18  ,18 TB,$279.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 2,$279.99
 Silicon Power UD85  ,2 TB,$115.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$115.99
 Western Digital WD_BLACK  ,4 TB,$134.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 31,$134.99
 Kingston A400  ,480 GB,$37.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 59,$37.99
 Western Digital Blue SN570  ,500 GB,$54.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 29,$54.99
 Timetec 35TTFP6PCIE  ,1 TB,$58.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 4,$58.99
 Crucial P3  ,4 TB,$229.95,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$229.95
 VisionTek QLC  ,8 TB,$1499.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$1499.99
 Crucial T500  ,1 TB,$80.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,$80.99
 Acer Predator GM7000  ,1 TB,$77.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 2,$77.98
 Samsung 980  ,500 GB,$64.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 29,$64.99
 Kingston Fury Renegade  ,2 TB,$186.75,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 5,$186.75
 Samsung 970 Evo Plus  ,250 GB,$64.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 88,$64.98
 Patriot P300  ,128 GB,$17.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 6,$17.98
 Samsung 980 Pro w/Heatsink  ,2 TB,$174.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 16,$174.99
 Samsung 990 Pro w/Heatsink  ,2 TB,$199.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$199.99
 Lexar NM620  ,1 TB,$73.43,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 3,$73.43
 Samsung 990 EVO  ,2 TB,$141.66,SSD,M.2-2280,M.2 PCIe 5.0 X2,0, 0,$141.66
 TEAMGROUP MS30  ,512 GB,$33.99,SSD,M.2-2280,M.2 SATA,5, 24,$33.99
 Kingston NV2  ,250 GB,$31.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 6,$31.99
 TEAMGROUP MP34  ,4 TB,$209.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$209.99
 Samsung 860 Evo  ,1 TB,$149.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 302,$149.99
 KIOXIA EXCERIA G2  ,1 TB,,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 3,
 Western Digital Green SN350  ,960 GB,$59.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$59.99
 Seagate SuperSpeed HDD  ,1 TB,,Hybrid,"2.5""",SATA 6.0 Gb/s,4, 5,
 Crucial P5 Plus  ,500 GB,$71.06,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 12,$71.06
 Western Digital Black SN770  ,500 GB,$62.28,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 23,$62.28
 Silicon Power UD90  ,4 TB,$225.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$225.99
 ADATA XPG GAMMIX S70 Blade  ,2 TB,$134.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 10,$134.99
 Corsair MP600 PRO XT  ,8 TB,$940.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$940.00
 Kingston A400  ,960 GB,$61.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 10,$61.99
 ADATA Legend 800  ,1 TB,$63.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,$63.99
 Solidigm P41 Plus  ,2 TB,$119.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 6,$119.99
 Seagate BarraCuda Q5  ,1 TB,$60.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$60.99
 Western Digital Blue  ,4 TB,$72.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,4, 18,$72.99
 Crucial MX500  ,500 GB,$49.49,SSD,"2.5""",SATA 6.0 Gb/s,5, 100,$49.49
 Corsair MP600 CORE XT  ,2 TB,$149.58,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$149.58
 MSI SPATIUM M570 HS  ,2 TB,$219.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 2,$219.99
 Mushkin Helix-L  ,2 TB,$98.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$98.99
 Crucial T705  ,4 TB,$543.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$543.99
 MSI SPATIUM M450  ,500 GB,$41.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,$41.99
 Lexar NM790  ,4 TB,$249.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,$249.99
 Crucial MX500  ,4 TB,$279.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 5,$279.99
 Corsair MP700  ,2 TB,$248.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$248.99
 MSI SPATIUM M371  ,1 TB,$69.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$69.99
 Samsung 980 Pro w/Heatsink  ,1 TB,$105.49,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$105.49
 Silicon Power A60  ,2 TB,$109.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 5,$109.99
 Patriot Burst Elite  ,120 GB,$14.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$14.99
 Samsung 870 QVO  ,4 TB,$261.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 5,$261.00
 Kingston Fury Renegade  ,1 TB,$107.80,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 10,$107.80
 Sabrent Rocket 4 Plus  ,2 TB,$219.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 10,$219.99
 Seagate IronWolf NAS  ,4 TB,$79.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$79.99
 Seagate FireCuda  ,8 TB,$144.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 3,$144.99
 TEAMGROUP T-Force Vulcan Z  ,512 GB,$31.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$31.99
 TEAMGROUP T-Force Cardea Z44L  ,1 TB,,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,
 Western Digital Blue  ,1 TB,$130.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 97,$130.00
 Seagate BarraCuda  ,2 TB,$94.98,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 348,$94.98
 Western Digital Green SN350  ,2 TB,$106.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,3, 1,$106.99
 Seagate BarraCuda  ,1 TB,$26.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 1017,$26.99
 Crucial BX500  ,1 TB,$72.54,SSD,"2.5""",SATA 6.0 Gb/s,4, 26,$72.54
 Leven JPS600  ,2 TB,$102.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 3,$102.99
 Corsair MP700  ,1 TB,$164.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$164.99
 Leven JPS800  ,2 TB,$108.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,$108.99
 Intel DC P3600  ,1.6 TB,$1426.98,SSD,PCIe,PCIe x4,0, 0,$1426.98
 Patriot P300  ,1 TB,$57.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 1,$57.99
 Crucial BX500  ,2 TB,$119.99,SSD,"2.5""",SATA 6.0 Gb/s,4, 12,$119.99
 Seagate Constellation ES.3  ,1 TB,$25.50,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 7,$25.50
 Corsair MP700 PRO  ,2 TB,$299.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$299.99
 Samsung 860 Evo  ,500 GB,$99.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 332,$99.99
 Samsung 850 Evo  ,250 GB,,SSD,"2.5""",SATA 6.0 Gb/s,5, 645,
 Sabrent Rocket Q  ,8 TB,,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,
 Samsung 970 Evo  ,1 TB,,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 311,
 Samsung 990 EVO  ,1 TB,$89.98,SSD,M.2-2280,M.2 PCIe 5.0 X2,0, 0,$89.98
 Lexar NM620  ,2 TB,$124.16,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$124.16
 KingSpec XG7000  ,2 TB,$123.76,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,$123.76
 Western Digital Blue SN550  ,1 TB,$127.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 214,$127.99
 Acer Predator GM7000  ,4 TB,$259.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$259.99
 Silicon Power UD90  ,1 TB,$77.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$77.99
 Solidigm P44 Pro  ,2 TB,$159.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,$159.99
 TEAMGROUP MS30  ,1 TB,$57.99,SSD,M.2-2280,M.2 SATA,4, 11,$57.99
 Toshiba MQ01ABD050  ,500 GB,,5400 RPM,"2.5""",SATA 3.0 Gb/s,4, 5,
 ADATA XPG GAMMIX S70 Blade  ,1 TB,$79.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 12,$79.98
 Seagate Exos X20  ,20 TB,$372.68,7200 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$372.68
 Samsung 870 Evo  ,250 GB,$39.15,SSD,"2.5""",SATA 6.0 Gb/s,5, 6,$39.15
 Crucial P2  ,1 TB,$74.09,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 59,$74.09
 TEAMGROUP MP33  ,256 GB,$25.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 12,$25.99
 Western Digital Black SN850X w/Heatsink  ,2 TB,$174.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 7,$174.99
 Kingston NV2  ,4 TB,$248.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$248.00
 Western Digital Blue  ,1 TB,$39.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,4, 32,$39.99
 Intel 670p  ,1 TB,$92.50,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 9,$92.50
 Crucial T705 W/Heatsink  ,4 TB,$573.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$573.99
 Seagate IronWolf NAS  ,8 TB,$159.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 4,$159.99
 Seagate Barracuda Compute  ,8 TB,$109.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,5, 7,$109.99
 Samsung 970 Evo  ,500 GB,$89.90,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 429,$89.90
 TEAMGROUP T-Force Cardea Z44Q  ,2 TB,,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,
 Seagate IronWolf Pro  ,4 TB,$136.11,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 10,$136.11
 Leven JS600  ,128 GB,$13.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$13.99
 ADATA XPG SX8200 Pro  ,1 TB,$79.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 118,$79.98
 Samsung 990 Pro w/Heatsink  ,1 TB,$131.68,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$131.68
 Lexar NM610PRO  ,2 TB,,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,
 TEAMGROUP MP44  ,2 TB,$123.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$123.99
 Mushkin Source HC  ,16 TB,,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,
 Corsair MP600 CORE XT  ,1 TB,$87.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$87.99
 SK Hynix Platinum P41  ,1 TB,$99.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 6,$99.99
 Western Digital Blue  ,500 GB,$69.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 87,$69.00
 TEAMGROUP T-Force Vulcan Z  ,1 TB,$56.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 2,$56.99
 Seagate IronWolf Pro NAS  ,16 TB,$264.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$264.99
 Intel 760p  ,2 TB,$729.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$729.99
 Intel DC P3608  ,4 TB,,SSD,PCIe,PCIe x8,0, 0,
 MSI SPATIUM M450  ,1 TB,$72.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 4,$72.99
 Samsung 870 QVO  ,2 TB,$154.49,SSD,"2.5""",SATA 6.0 Gb/s,5, 21,$154.49
 Samsung 850 Evo  ,500 GB,,SSD,"2.5""",SATA 6.0 Gb/s,5, 430,
 Western Digital Black SN750  ,1 TB,$99.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 136,$99.99
 Intel DC S3710  ,400 GB,$286.51,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$286.51
 Seagate Exos X14  ,12 TB,$188.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 2,$188.99
 PNY CS900  ,500 GB,$42.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 10,$42.99
 Corsair MP700 PRO  ,1 TB,$179.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 1,$179.99
 Western Digital Blue  ,8 TB,$129.99,5640 RPM,"3.5""",SATA 6.0 Gb/s,5, 3,$129.99
 Western Digital WD_BLACK  ,10 TB,$249.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,4, 4,$249.99
 Seagate ST6000NM0024  ,6 TB,$89.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 1,$89.99
 Kingston A400  ,120 GB,$27.77,SSD,"2.5""",SATA 6.0 Gb/s,5, 122,$27.77
 VisionTek 901414  ,8 TB,$1566.20,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$1566.20
 ADATA Legend 800  ,2 TB,$108.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$108.99
 Mushkin Helix-L  ,1 TB,$59.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 4,$59.99
 Western Digital Black SN850X w/Heatsink  ,1 TB,$104.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 5,$104.99
 Solidigm P44 Pro  ,1 TB,$111.49,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$111.49
 PNY CS1030  ,1 TB,$79.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 1,$79.98
 Silicon Power A55  ,2 TB,$95.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 3,$95.99
 Western Digital AV-GP  ,500 GB,,5400 RPM,"3.5""",SATA 3.0 Gb/s,4, 1,
 FanXiang S500 Pro  ,1 TB,$64.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$64.98
 Western Digital AV-GP  ,1 TB,$24.98,5400 RPM,"3.5""",SATA 6.0 Gb/s,4, 11,$24.98
 Inland Performance Plus  ,2 TB,$139.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 4,$139.99
 Seagate IronWolf Pro NAS  ,20 TB,$349.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 1,$349.99
 Timetec 35TTFP6PCIE  ,512 GB,$37.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$37.99
 FanXiang S500 Pro  ,512 GB,$36.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,$36.99
 Corsair Neutron XTi  ,1.92 TB,,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,
 Corsair MP600 CORE XT  ,4 TB,$329.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 2,$329.99
 Seagate BarraCuda Pro  ,10 TB,$227.78,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 5,$227.78
 Intel 670p  ,2 TB,$147.94,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 14,$147.94
 Seagate FireCuda 540  ,2 TB,$269.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,$269.99
 Timetec 35TTQNM2SATA  ,512 GB,$32.99,SSD,M.2-2280,M.2 SATA,0, 0,$32.99
 TEAMGROUP GX2  ,512 GB,$32.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 27,$32.99
 TEAMGROUP MP33 PRO  ,1 TB,$64.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,$64.98
 Crucial T700 W/Heatsink  ,2 TB,$294.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,5, 1,$294.99
 Western Digital Black SN770  ,250 GB,$49.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,$49.99
 Western Digital Blue SN580  ,500 GB,$53.66,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,$53.66
 Timetec 30TTQNS3SATA-1TB  ,1 TB,$56.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,$56.99
 Samsung 870 QVO  ,1 TB,$115.11,SSD,"2.5""",SATA 6.0 Gb/s,5, 23,$115.11
 Silicon Power P34A60  ,512 GB,$43.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 34,$43.99
 Western Digital Blue  ,500 GB,$14.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$14.99
 Samsung 980  ,250 GB,$57.10,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 4,$57.10
 TEAMGROUP MP44  ,4 TB,$223.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,$223.99
