Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 MSI MPG A750GF  ,ATX, Rating80+ Gold,750 W,Full,5, 22,$89.99
 Logisys PS480D  ,ATX, Rating,480 W,No,1, 2,$16.98
 Thermaltake Toughpower GF3 Snow  ,ATX, Rating80+ Gold,1200 W,Full,0, 0,
 EVGA 400 N1  ,ATX, Rating,400 W,No,4, 33,$44.99
 Apevia Galaxy  ,ATX, Rating80+ Gold,850 W,Semi,4, 1,$69.98
 SeaSonic FOCUS Plus 650 Gold  ,ATX, Rating80+ Gold,650 W,Full,5, 72,$186.67
 Asus TUF Gaming 850G  ,ATX, Rating80+ Gold,850 W,Full,5, 2,$235.63
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,1000 W,Full,4, 4,$289.91
 Cooler Master V750 SFX GOLD  ,SFX, Rating80+ Gold,750 W,Full,5, 17,$129.99
 Apevia Premier  ,ATX, Rating80+ Gold,650 W,Semi,5, 2,$59.99
 MSI MPG A750GF WHITE  ,ATX, Rating80+ Gold,750 W,Full,5, 1,
 Corsair RM850x SHIFT  ,ATX, Rating80+ Gold,850 W,Full / Side,5, 4,$159.99
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1000 W,Full,5, 5,$155.99
 PowerSpec PS 750BSM  ,ATX, Rating80+ Bronze,750 W,Semi,5, 4,$68.98
 ARESGAME AGV  ,ATX, Rating80+ Bronze,650 W,No,5, 6,
 SeaSonic PRIME TX  ,ATX, Rating80+ Titanium,1600 W,Full,5, 1,
 CoolMax I-500  ,ATX, Rating,500 W,No,2, 1,$26.68
 Sparkle FSP350-60GNV  ,SFX, Rating,350 W,No,0, 0,$69.99
 be quiet! SFX L Power  ,SFX, Rating80+ Gold,600 W,Full,0, 0,$130.53
 ADATA XPG CORE Reactor 850  ,ATX, Rating80+ Gold,850 W,Full,5, 7,$107.99
 PowerSpec PS 650BF  ,ATX, Rating80+ Bronze,650 W,No,5, 2,$54.99
 Corsair RM1000x  ,ATX, Rating80+ Gold,1000 W,Full,5, 30,$245.00
 Corsair RM1000x SHIFT  ,ATX, Rating80+ Gold,1000 W,Full / Side,5, 3,$187.99
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,850 W,Full,5, 1,$169.99
 Deepcool PX850G  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$104.99
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1650 W,Full,5, 2,$244.99
 Asus ROG THOR 1200P  ,ATX, Rating80+ Platinum,1200 W,Full,5, 13,
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,750 W,Full,5, 33,$159.99
 SeaSonic FOCUS GX-1000 ATX 3.0  ,ATX, Rating80+ Gold,1000 W,Full,5, 1,$199.99
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,650 W,Full,5, 1,$99.90
 Asus Prime AP-750G  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$98.99
 SeaSonic VERTEX GX-1200  ,ATX, Rating80+ Gold,1200 W,Full,5, 11,$221.07
 Gigabyte P-B  ,ATX, Rating80+ Bronze,650 W,No,4, 13,
 Gigabyte P550B  ,ATX, Rating80+ Bronze,550 W,No,4, 1,$71.89
 be quiet! Dark Power Pro 13  ,ATX, Rating80+ Titanium,1300 W,Full,5, 1,$369.90
 Deepcool PF500 230V  ,ATX, Rating80+,500 W,No,0, 0,
 Cooler Master V SFX Platinum  ,SFX, Rating80+ Platinum,1100 W,Full,4, 1,$248.99
 Montech TITAN GOLD 1000W  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$137.99
 Deepcool PX1000G  ,ATX, Rating80+ Gold,1000 W,Full,5, 2,$152.59
 EVGA SuperNOVA 850 GM  ,SFX, Rating80+ Gold,850 W,Full,5, 7,$164.07
 Deepcool PQ850M  ,ATX, Rating80+ Gold,850 W,Full,4, 2,
