CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Raiting,Raiting Count,Price
 Intel Core i7-14700KF  ,20,3.4 GHz,5.6 GHz,125 W,None,Yes,5, 3,$377.56
 Intel Core i5-13400F  ,10,2.5 GHz,4.6 GHz,65 W,None,Yes,5, 13,$185.99
 Intel Core i9-13900K  ,24,3 GHz,5.8 GHz,125 W,Intel UHD Graphics 770,Yes,5, 59,$522.99
 Intel Core i9-12900K  ,16,3.2 GHz,5.2 GHz,125 W,Intel UHD Graphics 770,Yes,5, 52,$376.76
 AMD Ryzen 5 4500  ,6,3.6 GHz,4.1 GHz,65 W,None,Yes,5, 11,$78.50
 Intel Core i7-12700KF  ,12,3.6 GHz,5 GHz,125 W,None,Yes,5, 35,$247.99
 AMD Ryzen 9 7950X  ,16,4.5 GHz,5.7 GHz,170 W,Radeon,Yes,5, 34,$549.99
 AMD Ryzen 7 5700G  ,8,3.8 GHz,4.6 GHz,65 W,Radeon Vega 8,Yes,5, 46,$166.26
 AMD Ryzen 7 3700X  ,8,3.6 GHz,4.4 GHz,65 W,None,Yes,5, 632,$210.00
 AMD Ryzen 9 7900X3D  ,12,4.4 GHz,5.6 GHz,120 W,Radeon,Yes,5, 9,$388.99
 AMD Ryzen 7 7700  ,8,3.6 GHz,5.3 GHz,65 W,Radeon,Yes,5, 15,$272.51
 AMD Ryzen 5 8500G  ,6,4.1 GHz,5 GHz,65 W,Radeon 740M,Yes,0, 0,$179.00
 Intel Core i5-13600KF  ,14,3.5 GHz,5.1 GHz,125 W,None,Yes,5, 49,$282.64
 Intel Core i9-14900KF  ,24,3.2 GHz,6 GHz,125 W,None,Yes,5, 3,$539.00
 Intel Core i5-14600KF  ,14,3.5 GHz,5.3 GHz,125 W,None,Yes,5, 3,$279.99
 AMD Ryzen 9 5950X  ,16,3.4 GHz,4.9 GHz,105 W,None,Yes,5, 103,$375.22
 AMD Ryzen 5 7500F  ,6,3.7 GHz,5 GHz,65 W,None,Yes,5, 7,
 AMD Ryzen 7 8700G  ,8,4.2 GHz,5.1 GHz,65 W,Radeon 780M,Yes,0, 0,$329.00
 AMD Ryzen 7 5700X3D  ,8,3 GHz,4.1 GHz,105 W,None,Yes,5, 2,$247.00
 Intel Core i7-13700KF  ,16,3.4 GHz,5.4 GHz,125 W,None,Yes,5, 21,$349.99
 AMD Ryzen 3 4100  ,4,3.8 GHz,4 GHz,65 W,None,Yes,4, 4,$68.98
 Intel Core i5-10400F  ,6,2.9 GHz,4.3 GHz,65 W,None,Yes,5, 57,$111.91
 AMD Ryzen 5 4600G  ,6,3.7 GHz,4.2 GHz,65 W,Radeon Vega 7,Yes,5, 7,$103.18
 AMD Ryzen 5 8600G  ,6,4.3 GHz,5 GHz,65 W,Radeon 760M,Yes,0, 0,$229.00
 Intel Core i5-12400  ,6,2.5 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,Yes,5, 29,$153.00
 AMD Ryzen 9 7900  ,12,3.6 GHz,5.4 GHz,65 W,Radeon,Yes,5, 11,$368.99
 Intel Core i5-14400F  ,10,2.5 GHz,4.7 GHz,65 W,None,Yes,0, 0,$199.99
 Intel Core i3-10100F  ,4,3.6 GHz,4.3 GHz,65 W,None,Yes,5, 23,$71.30
 AMD Ryzen 5 2600  ,6,3.4 GHz,3.9 GHz,65 W,None,Yes,5, 495,$155.00
 Intel Core i5-14500  ,14,2.6 GHz,5 GHz,65 W,Intel UHD Graphics 770,Yes,0, 0,$234.99
 Intel Core i7-9700K  ,8,3.6 GHz,4.9 GHz,95 W,Intel UHD Graphics 630,No,5, 225,$279.13
 Intel Core i7-8700K  ,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes,5, 303,$192.00
 Intel Core i5-13500  ,14,2.5 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,5, 15,$244.85
 AMD Ryzen 3 3200G  ,4,3.6 GHz,4 GHz,65 W,Radeon Vega 8,No,5, 63,$80.00
 Intel Core i9-13900KS  ,24,3 GHz,6 GHz,150 W,Intel UHD Graphics 770,Yes,5, 13,$635.99
 Intel Celeron E1400  ,2,2 GHz,,65 W,None,No,0, 0,$14.00
 Intel Core i7-13700F  ,16,2.1 GHz,5.2 GHz,65 W,None,Yes,5, 2,$360.74
 Intel Core i3-12100  ,4,3.3 GHz,4.3 GHz,60 W,Intel UHD Graphics 730,Yes,5, 13,$116.99
 AMD Ryzen 5 3600X  ,6,3.8 GHz,4.4 GHz,95 W,None,Yes,5, 201,$210.00
 Intel Core i3-13100F  ,4,3.4 GHz,4.5 GHz,58 W,None,Yes,5, 4,$119.99
 AMD Ryzen 7 2700X  ,8,3.7 GHz,4.3 GHz,105 W,None,Yes,5, 360,$210.00
 Intel Core i5-13400  ,10,2.5 GHz,4.6 GHz,65 W,Intel UHD Graphics 730,Yes,5, 4,$228.99
 Intel Core i7-10700K  ,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,5, 100,$247.44
 Intel Core i5-11400F  ,6,2.6 GHz,4.4 GHz,65 W,None,Yes,5, 23,$113.00
 Intel Core i9-9900K  ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5, 211,$468.00
 Intel Core i3-14100F  ,4,3.5 GHz,4.7 GHz,58 W,None,Yes,0, 0,$119.99
 AMD Ryzen 9 3900X  ,12,3.8 GHz,4.6 GHz,105 W,None,Yes,5, 277,$445.00
 Intel Core i9-13900KF  ,24,3 GHz,5.8 GHz,125 W,None,Yes,5, 11,$509.99
 Intel Core i7-7700K  ,4,4.2 GHz,4.5 GHz,91 W,Intel HD Graphics 630,Yes,5, 305,$252.00
 AMD Threadripper 3970X  ,32,3.7 GHz,4.5 GHz,280 W,None,Yes,5, 8,$1897.99
 Intel Core i5-9400F  ,6,2.9 GHz,4.1 GHz,65 W,None,No,4, 47,$112.00
 Intel Core i7-6700K  ,4,4 GHz,4.2 GHz,91 W,Intel HD Graphics 530,Yes,5, 508,$180.00
 Intel Core i7-11700K  ,8,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 750,Yes,5, 38,$241.04
 AMD Ryzen 7 3800X  ,8,3.9 GHz,4.5 GHz,105 W,None,Yes,5, 133,$295.00
 Intel Core i7-12700F  ,12,2.1 GHz,4.9 GHz,65 W,None,Yes,5, 9,$250.00
 AMD Ryzen 5 2600X  ,6,3.6 GHz,4.2 GHz,95 W,None,Yes,5, 229,$195.00
 Intel Core i9-12900KF  ,16,3.2 GHz,5.2 GHz,125 W,None,Yes,5, 2,$350.99
 Intel Core i9-11900K  ,8,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 750,Yes,4, 12,$265.00
 Intel Core i7-14700F  ,20,2.1 GHz,5.4 GHz,65 W,None,Yes,0, 0,$359.99
 Intel Core i5-10600K  ,6,4.1 GHz,4.8 GHz,125 W,Intel UHD Graphics 630,Yes,5, 72,$143.72
 Intel Core i7-13700  ,16,2.1 GHz,5.2 GHz,65 W,Intel UHD Graphics 770,Yes,5, 3,$339.99
 Intel Core i5-9600K  ,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No,5, 146,$169.00
 Intel Core i5-10400  ,6,2.9 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,5, 62,$134.97
 Intel Core i9-10900K  ,10,3.7 GHz,5.3 GHz,125 W,Intel UHD Graphics 630,Yes,5, 50,$490.00
 Intel Core i5-6500  ,4,3.2 GHz,3.6 GHz,65 W,Intel HD Graphics 530,No,5, 232,$73.00
 Intel Core i7-8700  ,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,5, 59,$210.00
 AMD Ryzen 5 2400G  ,4,3.6 GHz,3.9 GHz,65 W,Radeon Vega 11,Yes,5, 1,
 Intel Core i5-8400  ,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,5, 84,$140.00
 Intel Core i7-4790K  ,4,4 GHz,4.4 GHz,88 W,Intel HD Graphics 4600,Yes,5, 562,
 AMD Ryzen 5 3400G  ,4,3.7 GHz,4.2 GHz,65 W,Radeon Vega 11,Yes,5, 55,$132.00
 AMD Ryzen 9 3950X  ,16,3.5 GHz,4.7 GHz,105 W,None,Yes,5, 62,$515.00
 Intel Core i9-11900KF  ,8,3.5 GHz,5.3 GHz,125 W,None,Yes,4, 2,$240.00
 Intel Core i3-14100  ,4,3.5 GHz,4.7 GHz,60 W,Intel UHD Graphics 730,Yes,0, 0,$139.99
 Intel Core i7-7700  ,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,5, 34,$167.00
 Intel Core i5-4690K  ,4,3.5 GHz,3.9 GHz,88 W,Intel HD Graphics 4600,No,5, 556,$53.50
 Intel Core i7-6700  ,4,3.4 GHz,4 GHz,65 W,Intel HD Graphics 530,Yes,5, 42,$150.00
 Intel Core i9-10850K  ,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,Yes,5, 58,$286.00
 AMD Ryzen 5 5500GT  ,6,3.6 GHz,4.4 GHz,65 W,Radeon Vega 7,Yes,0, 0,$125.00
 Intel Core i7-11700F  ,8,2.5 GHz,4.9 GHz,65 W,None,Yes,5, 2,$213.02
 Intel Core i7-10700F  ,8,2.9 GHz,4.8 GHz,65 W,None,Yes,5, 7,$225.99
 Intel Core i5-6600K  ,4,3.5 GHz,3.9 GHz,91 W,Intel HD Graphics 530,No,5, 428,$130.00
 Intel Core i7-14700  ,20,2.1 GHz,5.4 GHz,65 W,Intel UHD Graphics 770,Yes,0, 0,$399.99
 Intel Core i7-12700  ,12,2.1 GHz,4.9 GHz,65 W,Intel UHD Graphics 770,Yes,5, 7,$265.49
 AMD Threadripper 3960X  ,24,3.8 GHz,4.5 GHz,280 W,None,Yes,5, 9,$1300.00
 AMD Ryzen 5 5600GT  ,6,3.6 GHz,4.6 GHz,65 W,Radeon Vega 7,Yes,0, 0,$140.00
 AMD Ryzen 3 3100  ,4,3.6 GHz,3.9 GHz,65 W,None,Yes,5, 61,
 AMD Ryzen 5 1600 ,6,3.2 GHz,3.6 GHz,65 W,None,Yes,5, 361,
 Intel Core i7-3770  ,4,3.4 GHz,,77 W,Intel HD Graphics 4000,Yes,5, 49,$80.00
 AMD Ryzen 7 2700  ,8,3.2 GHz,4.1 GHz,65 W,None,Yes,5, 70,$185.00
 Intel Core i9-12900KS  ,16,3.4 GHz,5.5 GHz,150 W,Intel UHD Graphics 770,Yes,5, 5,$409.99
 AMD Ryzen 5 1600 ,6,3.2 GHz,3.6 GHz,65 W,None,Yes,5, 55,$120.00
 Intel Core i7-10700  ,8,2.9 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,5, 30,$238.62
 AMD Ryzen 5 5600X3D  ,6,3.3 GHz,4.4 GHz,105 W,None,Yes,5, 6,
 Intel Core i7-11700  ,8,2.5 GHz,4.9 GHz,65 W,Intel UHD Graphics 750,Yes,5, 10,$215.99
 Intel Core i5-11400  ,6,2.6 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,Yes,5, 35,$150.94
 Intel Core i5-7500  ,4,3.4 GHz,3.8 GHz,65 W,Intel HD Graphics 630,No,5, 76,$89.00
 Intel Core i3-10105F  ,4,3.7 GHz,4.4 GHz,65 W,None,Yes,5, 5,$80.57
 AMD Ryzen 5 3600  ,6,3.6 GHz,4.2 GHz,65 W,None,Yes,5, 2,
 Intel Core i5-14400  ,10,2.5 GHz,4.7 GHz,65 W,Intel UHD Graphics 730,Yes,0, 0,$229.99
 Intel Core i5-10600KF  ,6,4.1 GHz,4.8 GHz,125 W,None,Yes,5, 8,$133.00
 Intel Core i5-11600K  ,6,3.9 GHz,4.9 GHz,125 W,Intel UHD Graphics 750,Yes,5, 34,$197.40
 Intel Core i7-6950X  ,10,3 GHz,3.5 GHz,140 W,None,Yes,0, 0,$425.00
 Intel Core i3-10100  ,4,3.6 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,5, 38,$100.81
 Intel Core i7-4770  ,4,3.4 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,5, 43,$140.00
 Intel Celeron G5900  ,2,3.4 GHz,,58 W,Intel UHD Graphics 610,No,5, 2,$39.99
 Intel Core i9-14900  ,24,2 GHz,5.8 GHz,65 W,Intel UHD Graphics 770,Yes,0, 0,$568.07
 Intel Core i5-8600K  ,6,3.6 GHz,4.3 GHz,95 W,Intel UHD Graphics 630,No,5, 143,$224.06
 Intel Core i9-9900KF  ,8,3.6 GHz,5 GHz,95 W,None,Yes,5, 16,$386.74
 Intel Core i7-10700KF  ,8,3.8 GHz,5.1 GHz,125 W,None,Yes,5, 6,$240.00
 AMD Ryzen 9 3950X  ,16,3.5 GHz,4.7 GHz,105 W,None,Yes,0, 0,$2147.03
 AMD Ryzen 3 2200G  ,4,3.5 GHz,3.7 GHz,65 W,Radeon Vega 8,No,5, 135,$130.00
 Intel Core i7-9700  ,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,5, 2,$260.26
 Intel Core i9-10900KF  ,10,3.7 GHz,5.3 GHz,125 W,None,Yes,5, 9,$282.82
 Intel Core i3-13100  ,4,3.4 GHz,4.5 GHz,60 W,Intel UHD Graphics 730,Yes,5, 1,$147.99
 Intel Core i7-4790  ,4,3.6 GHz,4 GHz,84 W,Intel HD Graphics 4600,Yes,5, 2,$139.94
 AMD Ryzen 7 1700  ,8,3 GHz,3.7 GHz,65 W,None,Yes,5, 170,$195.00
 Intel Celeron G6900  ,2,3.4 GHz,,46 W,Intel UHD Graphics 710,No,0, 0,$85.28
 Intel Core i5-7400  ,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,4, 15,$110.00
 AMD Ryzen 5 3500X  ,6,3.6 GHz,4.1 GHz,65 W,None,No,5, 8,
 Intel Xeon E5-2699 V4  ,22,2.2 GHz,3.6 GHz,145 W,None,Yes,5, 1,$294.00
 AMD Ryzen 5 3600  ,6,3.6 GHz,4.2 GHz,65 W,None,Yes,5, 1,$163.55
 Intel Core i3-9100F  ,4,3.6 GHz,4.2 GHz,65 W,None,No,5, 27,$115.00
 Intel Xeon E5-2660  ,8,2.2 GHz,3 GHz,95 W,None,Yes,0, 0,$15.44
 Intel Core i9-9900KS  ,8,4 GHz,5 GHz,127 W,Intel UHD Graphics 630,Yes,5, 7,$1989.00
 AMD FX-8350  ,8,4 GHz,,125 W,None,No,5, 438,$218.36
 Intel Core i7-9700F  ,8,3 GHz,4.7 GHz,65 W,None,No,5, 2,$395.86
 Intel Core i9-13900F  ,24,2 GHz,5.6 GHz,65 W,None,Yes,0, 0,$469.99
 AMD Athlon 3000G ,2,3.5 GHz,,35 W,Radeon Vega 3,Yes,5, 22,$63.83
 Intel Core i5-7600K  ,4,3.8 GHz,4.2 GHz,91 W,Intel HD Graphics 630,No,5, 137,$210.00
 Intel Core i7-4770K  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,5, 467,$135.00
 Intel Core i7-3770K  ,4,3.5 GHz,,77 W,Intel HD Graphics 4000,Yes,5, 218,$175.00
 AMD Ryzen 5 1600X  ,6,3.6 GHz,4 GHz,95 W,None,Yes,5, 75,$125.00
 Intel Core i7-11700KF  ,8,3.6 GHz,5 GHz,125 W,None,Yes,5, 3,$249.68
 Intel Core i3-8100  ,4,3.6 GHz,,65 W,Intel UHD Graphics 630,No,4, 42,$110.00
 AMD Threadripper 2990WX  ,32,3 GHz,4.2 GHz,250 W,None,Yes,5, 6,$2500.00
 Intel Core i5-3470  ,4,3.2 GHz,,77 W,Intel HD Graphics 2500,No,5, 36,$69.00
 Intel Core i5-4590  ,4,3.3 GHz,3.7 GHz,84 W,Intel HD Graphics 4600,No,5, 93,
 Intel Core i5-12500  ,6,3 GHz,4.6 GHz,65 W,Intel UHD Graphics 770,Yes,5, 3,$195.99
 AMD Threadripper 1900X  ,8,3.8 GHz,4 GHz,180 W,None,Yes,5, 6,$109.99
 Intel Core i5-11600KF  ,6,3.9 GHz,4.9 GHz,125 W,None,Yes,5, 4,$160.68
 AMD Ryzen 9 3900XT  ,12,3.8 GHz,4.7 GHz,105 W,None,Yes,5, 15,$450.00
 AMD Ryzen 7 3700X  ,8,3.6 GHz,4.4 GHz,65 W,None,Yes,5, 1,
 Intel Core i5-8500  ,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,5, 7,$159.99
 Intel Core i9-14900F  ,24,2 GHz,5.8 GHz,65 W,None,Yes,0, 0,$559.99
 AMD Ryzen 7 1700X  ,8,3.4 GHz,3.8 GHz,95 W,None,Yes,5, 94,$225.00
 Intel Core i3-4130  ,2,3.4 GHz,,54 W,Intel HD Graphics 4400,Yes,5, 38,$43.00
 AMD Athlon II X2 240  ,2,2.8 GHz,,65 W,None,No,0, 0,$29.48
 AMD Ryzen 5 2400G  ,4,3.6 GHz,3.9 GHz,65 W,Radeon Vega 11,Yes,5, 80,$135.00
 Intel Core i5-4690  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,No,5, 42,$52.00
 AMD Ryzen 7 5700  ,8,3.7 GHz,4.6 GHz,65 W,None,Yes,0, 0,
 Intel Core i9-10980XE  ,18,3 GHz,4.8 GHz,165 W,None,Yes,0, 0,$1200.00
 Intel Core i9-13900  ,24,2 GHz,5.6 GHz,65 W,Intel UHD Graphics 770,Yes,5, 2,$567.98
 Intel Core i5-4460  ,4,3.2 GHz,3.4 GHz,84 W,Intel HD Graphics 4600,No,5, 103,$82.46
 Intel Core i5-9400  ,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,5, 12,$160.91
 Intel Xeon E5-2660 V4  ,14,2 GHz,3.2 GHz,105 W,None,Yes,5, 1,$399.00
 AMD Ryzen 7 3800XT  ,8,3.9 GHz,4.7 GHz,105 W,None,Yes,5, 22,$406.45
 Intel Xeon E5-1650 V4  ,6,3.6 GHz,4 GHz,140 W,None,Yes,0, 0,$27.84
 AMD FX-6300  ,6,3.5 GHz,,95 W,None,No,5, 510,
 AMD Ryzen 5 1400  ,4,3.2 GHz,3.4 GHz,65 W,None,Yes,5, 52,$110.00
 Intel Core i5-4570  ,4,3.2 GHz,,84 W,Intel HD Graphics 4600,No,5, 83,$104.54
 Intel Core i7-8700K  ,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes,5, 2,$252.50
 Intel Core i5-6400  ,4,2.7 GHz,3.3 GHz,65 W,Intel HD Graphics 530,No,5, 44,
 AMD Ryzen 3 1200 ,4,3.1 GHz,3.4 GHz,65 W,None,No,5, 69,$105.00
 AMD Ryzen 3 3300X  ,4,3.8 GHz,4.3 GHz,65 W,None,Yes,5, 21,$150.00
 AMD Ryzen 5 3600XT  ,6,3.8 GHz,4.5 GHz,95 W,None,Yes,5, 36,
 Intel Core i5-4670K  ,4,3.4 GHz,,84 W,Intel HD Graphics 4600,No,5, 526,$63.50
 AMD Ryzen 5 1500X  ,4,3.5 GHz,3.7 GHz,65 W,None,Yes,5, 50,$195.00
 Intel Core i7-2600  ,4,3.4 GHz,,95 W,Intel HD Graphics 2000,Yes,5, 19,
 Intel Core i7-6800K  ,6,3.4 GHz,3.6 GHz,140 W,None,Yes,5, 22,$108.00
 Intel Core i7-9700KF  ,8,3.6 GHz,4.9 GHz,95 W,None,No,5, 7,$280.00
 Intel Pentium E5400  ,2,2.7 GHz,,65 W,None,No,4, 2,
 AMD Ryzen 5 3500  ,6,3.6 GHz,4.1 GHz,65 W,None,No,5, 2,
 Intel Core i9-10900F  ,10,2.8 GHz,5.2 GHz,65 W,None,Yes,5, 4,$240.06
 Intel Core i5-12600  ,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,5, 3,$239.99
 Intel Core i5-9600KF  ,6,3.7 GHz,4.6 GHz,95 W,None,No,5, 10,$185.12
 Intel Core i3-6100  ,2,3.7 GHz,,51 W,Intel HD Graphics 530,Yes,5, 161,$100.00
 Intel Core i5-10500  ,6,3.1 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,$177.84
 Intel Core i7-2600K  ,4,3.4 GHz,,95 W,Intel HD Graphics 3000,Yes,5, 44,$70.00
 Intel Xeon E5-2630 V2  ,6,2.6 GHz,3.1 GHz,80 W,None,Yes,0, 0,
 Intel Xeon E5-2680 V4  ,14,2.4 GHz,3.3 GHz,120 W,None,Yes,0, 0,$1975.00
 Intel Core i5-3570K  ,4,3.4 GHz,,77 W,Intel HD Graphics 4000,No,5, 461,$120.23
 Intel 300  ,2,3.9 GHz,,46 W,Intel UHD Graphics 710,Yes,0, 0,$96.99
 Intel Core i3-10105  ,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,5, 4,$96.00
 Intel Core i5-2400  ,4,3.1 GHz,,95 W,Intel HD Graphics 2000,No,5, 17,
 AMD Ryzen 9 PRO 7945  ,12,3.7 GHz,5.4 GHz,65 W,Radeon,Yes,0, 0,
 Intel Core i5-7600  ,4,3.5 GHz,4.1 GHz,65 W,Intel HD Graphics 630,No,5, 21,$89.00
 AMD Ryzen 7 1800X  ,8,3.6 GHz,4 GHz,95 W,None,Yes,5, 51,$235.00
 Intel Xeon E5-2683 V4  ,16,2.1 GHz,3 GHz,120 W,None,Yes,0, 0,$1998.95
 Intel Core i7-4790K  ,4,4 GHz,4.4 GHz,88 W,Intel HD Graphics 4600,Yes,4, 6,$185.00
 Intel Core i7-6900K  ,8,3.2 GHz,3.7 GHz,140 W,None,Yes,5, 6,$145.00
 Intel Core i7-5820K  ,6,3.3 GHz,3.6 GHz,140 W,None,Yes,5, 120,
 AMD Threadripper 1920X  ,12,3.5 GHz,4 GHz,180 W,None,Yes,5, 8,$270.00
 Intel Core 2 Duo E8400  ,2,3 GHz,,65 W,None,No,5, 4,$27.55
 Intel Celeron G5925  ,2,3.6 GHz,,58 W,Intel UHD Graphics 610,No,0, 0,$45.99
 Intel Celeron 420  ,1,1.6 GHz,,35 W,None,No,0, 0,$39.95
 Intel Core i5-6600  ,4,3.3 GHz,3.9 GHz,65 W,Intel HD Graphics 530,No,5, 52,
 AMD Threadripper 1950X  ,16,3.4 GHz,4 GHz,180 W,None,Yes,5, 18,$788.88
 Intel Core i3-7100  ,2,3.9 GHz,,51 W,Intel HD Graphics 630,Yes,4, 24,$70.00
 Intel Core i5-9400F  ,6,2.9 GHz,4.1 GHz,65 W,None,No,5, 1,
 AMD Athlon X4 845  ,4,3.5 GHz,3.8 GHz,65 W,None,No,4, 4,$50.00
 Intel Core i3-10305  ,4,3.8 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,$169.99
 Intel Core i9-9900  ,8,3.1 GHz,5 GHz,65 W,Intel UHD Graphics 630,Yes,5, 3,$315.00
 Intel Core i5-2500K  ,4,3.3 GHz,,95 W,Intel HD Graphics 3000,No,5, 97,$251.53
 Intel Pentium Gold G6400  ,2,4 GHz,,58 W,Intel UHD Graphics 610,Yes,5, 2,$64.98
 Intel Core i3-4150  ,2,3.5 GHz,,54 W,Intel HD Graphics 4400,Yes,5, 35,$48.00
 Intel Core i5-9500  ,6,3 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,No,5, 1,$160.74
 Intel Core i9-10900X  ,10,3.7 GHz,4.7 GHz,165 W,None,Yes,5, 1,$615.00
 Intel Core i7-4790  ,4,3.6 GHz,4 GHz,84 W,Intel HD Graphics 4600,Yes,5, 41,
 Intel Core i9-9900K  ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5, 2,$954.81
 Intel Xeon E5-2650 V4  ,12,2.2 GHz,2.9 GHz,105 W,None,Yes,0, 0,$79.00
 Intel Core i9-10900  ,10,2.8 GHz,5.2 GHz,65 W,Intel UHD Graphics 630,Yes,5, 3,$291.97
 AMD Athlon 200GE  ,2,3.2 GHz,,35 W,Radeon Vega 3,Yes,5, 15,$89.99
 Intel Core i5-3570  ,4,3.4 GHz,,77 W,Intel HD Graphics 2500,No,5, 22,
 Intel Core i3-12100T  ,4,2.2 GHz,4.1 GHz,35 W,Intel UHD Graphics 730,Yes,0, 0,
 Intel Core i9-12900F  ,16,2.4 GHz,5.1 GHz,65 W,None,Yes,0, 0,$432.99
 Intel Core i5-6500  ,4,3.2 GHz,3.6 GHz,65 W,Intel HD Graphics 530,No,0, 0,
 Intel Core i3-7350K  ,2,4.2 GHz,,60 W,Intel HD Graphics 630,Yes,5, 2,$40.00
 AMD Ryzen 9 3900X  ,12,3.8 GHz,4.6 GHz,105 W,None,Yes,5, 1,
